"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"12","first came here, had, no plan, no money, no job","Khi tôi mới đến đây, tôi không có kế hoạch, không tiền bạc và không việc làm.","When I first came here I had **no plan, no money and no job**.","When___I___first___came___here___I___had___**no___plan,___no___money___and___no___job**.","/wɛn aɪ fɜrst keɪm hɪr aɪ hæd noʊ plæn noʊ ˈmʌni ənd noʊ dʒɑb/","wɛn___aɪ___fɜrst___keɪm___hɪr___aɪ___hæd___noʊ___plæn___noʊ___ˈmʌni___ənd___noʊ___dʒɑb"
"13","had, dream","Nhưng tôi đã có một giấc mơ.","But I had **a dream**.","But___I___had___**a___dream**.","/bʌt aɪ hæd ə drim/","bʌt___aɪ___hæd___ə___drim"
"14","wanted to find a way, make a living, could stay, beautiful place, felt like home","Tôi muốn tìm cách kiếm sống để có thể ở lại nơi tuyệt đẹp này, nơi mà tôi cảm thấy như quê hương trong trái tim mình.","I wanted to find a way to **make a living** so that I could stay at this beautiful place that **felt like home** in my heart.","I___wanted___to___find___a___way___to___**make___a___living**___so___that___I___could___stay___at___this___beautiful___place___that___**felt___like___home**___in___my___heart.","/aɪ ˈwɔntəd tə faɪnd ə weɪ tə meɪk ə ˈlɪvɪŋ soʊ ðæt aɪ kʊd steɪ æt ðɪs ˈbjutəfəl pleɪs ðæt fɛlt laɪk hoʊm ɪn maɪ hɑrt/","aɪ___ˈwɔntəd___tə___faɪnd___ə___weɪ___tə___meɪk___ə___ˈlɪvɪŋ___soʊ___ðæt___aɪ___kʊd___steɪ___æt___ðɪs___ˈbjutəfəl___pleɪs___ðæt___fɛlt___laɪk___hoʊm___ɪn___maɪ___hɑrt"
"15","first years, challenging","Những năm đầu tiên ở Grundtjärn rất khó khăn.","The first years in Grundtjärn was very **challenging**.","The___first___years___in___Grundtjärn___was___very___**challenging**.","/ðə fɜrst jɪrz ɪn ˈɡrʊntjɛrn wʌz ˈvɛri ˈtʃælɪndʒɪŋ/","ðə___fɜrst___jɪrz___ɪn___ˈɡrʊntjɛrn___wʌz___ˈvɛri___ˈtʃælɪndʒɪŋ"
"16","cold winters, constant worry, about money, old house, full time job","Những mùa đông dài lạnh giá... Nỗi lo thường trực về tiền bạc... Và một căn nhà cũ mà việc giữ ấm cũng đã là một công việc toàn thời gian. (Ba câu ngắn được gộp lại thành một thẻ)","Long cold winters... A **constant worry** about money... And an old house where it was **a full time job** just to keep warm.","Long___cold___winters...___A___**constant___worry**___about___money...___And___an___old___house___where___it___was___**a___full___time___job**___just___to___keep___warm.","/lɔŋ koʊld ˈwɪntərz ə ˈkɑnstənt ˈwɜri əˈbaʊt ˈmʌni ənd æn oʊld haʊs wɛr ɪt wʌz ə fʊl taɪm dʒɑb dʒʌst tə kip wɔrm/","lɔŋ___koʊld___ˈwɪntərz___ə___ˈkɑnstənt___ˈwɜri___əˈbaʊt___ˈmʌni___ənd___æn___oʊld___haʊs___wɛr___ɪt___wʌz___ə___fʊl___taɪm___dʒɑb___dʒʌst___tə___kip___wɔrm"
"17","limits, tested","Một khoảng thời gian mà giới hạn của tôi liên tục bị thử thách.","A time when my **limits** were **constantly tested**.","A___time___when___my___**limits**___were___**constantly___tested**.","/ə taɪm wɛn maɪ ˈlɪməts wɜr ˈkɑnstəntli ˈtɛstəd/","ə___taɪm___wɛn___maɪ___ˈlɪməts___wɜr___ˈkɑnstəntli___ˈtɛstəd"
"18","found, passion","Nhưng trong khoảng thời gian đó, tôi đã tìm thấy đam mê của cuộc đời mình.","But during this time, I found my **passion in life**.","But___during___this___time,___I___found___my___**passion___in___life**.","/bʌt ˈdʊrɪŋ ðɪs taɪm aɪ faʊnd maɪ ˈpæʃən ɪn laɪf/","bʌt___ˈdʊrɪŋ___ðɪs___taɪm___aɪ___faʊnd___maɪ___ˈpæʃən___ɪn___laɪf"
"19","photography, filming, writing","Tôi bắt đầu với nhiếp ảnh, quay phim và viết lách.","I started with **photography** and **filming** and **writing**.","I___started___with___**photography**___and___**filming**___and___**writing**.","/aɪ ˈstɑrtəd wɪð fəˈtɑɡrəfi ənd ˈfɪlmɪŋ ənd ˈraɪtɪŋ/","aɪ___ˈstɑrtəd___wɪð___fəˈtɑɡrəfi___ənd___ˈfɪlmɪŋ___ənd___ˈraɪtɪŋ"
"20","started a little blog, share moments, new life, express my love, nature","Và tôi bắt đầu một blog nhỏ để có thể chia sẻ những khoảnh khắc trong cuộc sống mới của mình và thể hiện tình yêu thiên nhiên qua ảnh và câu chữ.","And I started a little blog so I could **share moments** of my new life and **express my love** for nature in photos and words.","And___I___started___a___little___blog___so___I___could___**share___moments**___of___my___new___life___and___**express___my___love**___for___nature___in___photos___and___words.","/ənd aɪ ˈstɑrtəd ə ˈlɪtəl blɑɡ soʊ aɪ kʊd ʃɛr ˈmoʊmənts ʌv maɪ nu laɪf ənd ɪkˈsprɛs maɪ lʌv fɔr ˈneɪtʃər ɪn ˈfoʊtoʊz ənd wɜrdz/","ənd___aɪ___ˈstɑrtəd___ə___ˈlɪtəl___blɑɡ___soʊ___aɪ___kʊd___ʃɛr___ˈmoʊmənts___ʌv___maɪ___nu___laɪf___ənd___ɪkˈsprɛs___maɪ___lʌv___fɔr___ˈneɪtʃər___ɪn___ˈfoʊtoʊz___ənd___wɜrdz"
"21","also bought, a dog, Nanook, became, best friend ever","Và tôi cũng đã nuôi một chú chó, Nanook, người đã trở thành người bạn tốt nhất của tôi.","And I also bought a dog, Nanook, that became **my best friend** ever...","And___I___also___bought___a___dog,___Nanook,___that___became___**my___best___friend**___ever...","/ənd aɪ ˈɔlsoʊ bɔt ə dɔɡ nəˈnuk ðæt bɪˈkeɪm maɪ bɛst frɛnd ˈɛvər/","ənd___aɪ___ˈɔlsoʊ___bɔt___ə___dɔɡ___nəˈnuk___ðæt___bɪˈkeɪm___maɪ___bɛst___frɛnd___ˈɛvər"
"22","awakened, nature","Sống gần gũi với thiên nhiên đã đánh thức điều gì đó trong tôi.","Living so close to nature **awakened something in me**.","Living___so___close___to___nature___**awakened___something___in___me**.","/ˈlɪvɪŋ soʊ kloʊs tə ˈneɪtʃər əˈweɪkənd ˈsʌmθɪŋ ɪn mi/","ˈlɪvɪŋ___soʊ___kloʊs___tə___ˈneɪtʃər___əˈweɪkənd___ˈsʌmθɪŋ___ɪn___mi"
"23","urge, create","Tôi cảm thấy một sự thôi thúc muốn sáng tạo.","I felt **an urge to create**.","I___felt___**an___urge___to___create**.","/aɪ fɛlt ən ɜrdʒ tə kriˈeɪt/","aɪ___fɛlt___ən___ɜrdʒ___tə___kriˈeɪt"
"24","became, biggest passion, continue creating, moving people, with my art","Và nó đã trở thành đam mê lớn nhất của tôi: tiếp tục sáng tạo và chạm đến trái tim mọi người bằng nghệ thuật của mình.","And it became **my biggest passion** to continue creating and **moving people** with my art.","And___it___became___**my___biggest___passion**___to___continue___creating___and___**moving___people**___with___my___art.","/ənd ɪt bɪˈkeɪm maɪ ˈbɪɡəst ˈpæʃən tə kənˈtɪnju kriˈeɪtɪŋ ənd ˈmuvɪŋ ˈpipəl wɪð maɪ ɑrt/","ənd___ɪt___bɪˈkeɪm___maɪ___ˈbɪɡəst___ˈpæʃən___tə___kənˈtɪnju___kriˈeɪtɪŋ___ənd___ˈmuvɪŋ___ˈpipəl___wɪð___maɪ___ɑrt"
"25","eight years, moved","Đã tám năm trôi qua kể từ khi tôi chuyển đến đây.","It's now **been eight years since** I moved.","It's___now___**been___eight___years___since**___I___moved.","/ɪts naʊ bɪn eɪt jɪrz sɪns aɪ muvd/","ɪts___naʊ___bɪn___eɪt___jɪrz___sɪns___aɪ___muvd"
"26","still, live here, little house, under, northern lights","Và tôi vẫn sống ở đây... trong ngôi nhà nhỏ của mình dưới ánh cực quang.","And I still live here... In my little house under **the northern lights**.","And___I___still___live___here...___In___my___little___house___under___**the___northern___lights**.","/ənd aɪ stɪl lɪv hɪr ɪn maɪ ˈlɪtəl haʊs ˈʌndər ðə ˈnɔrðərn laɪts/","ənd___aɪ___stɪl___lɪv___hɪr___ɪn___maɪ___ˈlɪtəl___haʊs___ˈʌndər___ðə___ˈnɔrðərn___laɪts"
"27","run, own business","Từ nơi đây, tôi điều hành công ty riêng của mình mang tên Jonna Jinton Sweden.","From here, I **run my own business** Jonna Jinton Sweden.","From___here,___I___**run___my___own___business**___Jonna___Jinton___Sweden.","/frʌm hɪr aɪ rʌn maɪ oʊn ˈbɪznəs ˈdʒɑnə ˈdʒɪntən ˈswidən/","frʌm___hɪr___aɪ___rʌn___maɪ___oʊn___ˈbɪznəs___ˈdʒɑnə___ˈdʒɪntən___ˈswidən"
"28","employed, administrator","Nơi mẹ tôi, Anita, làm việc với vai trò quản trị viên.","Where my mother Anita is **employed as an administrator**.","Where___my___mother___Anita___is___**employed___as___an___administrator**.","/wɛr maɪ ˈmʌðər əˈnitə ɪz ɪmˈplɔɪd æz æn ədˈmɪnəˌstreɪtər/","wɛr___maɪ___ˈmʌðər___əˈnitə___ɪz___ɪmˈplɔɪd___æz___æn___ədˈmɪnəˌstreɪtər"
"29","spend my days, photography, filming","Tôi dành cả ngày để chụp ảnh... quay phim... sáng tác nhạc... vẽ tranh... viết lách...","I **spend my days** doing photography... filming... creating music... painting... writing...","I___**spend___my___days**___doing___photography...___filming...___creating___music...___painting...___writing...","/aɪ spɛnd maɪ deɪz ˈduɪŋ fəˈtɑɡrəfi ˈfɪlmɪŋ kriˈeɪtɪŋ ˈmjuzɪk ˈpeɪntɪŋ ˈraɪtɪŋ/","aɪ___spɛnd___maɪ___deɪz___ˈduɪŋ___fəˈtɑɡrəfi___ˈfɪlmɪŋ___kriˈeɪtɪŋ___ˈmjuzɪk___ˈpeɪntɪŋ___ˈraɪtɪŋ"
"30","heart, express","Và tất cả những điều mà trái tim tôi muốn bày tỏ.","And all the things that my heart **wants to express**.","And___all___the___things___that___my___heart___**wants___to___express**.","/ənd ɔl ðə θɪŋz ðæt maɪ hɑrt wɑnts tə ɪkˈsprɛs/","ənd___ɔl___ðə___θɪŋz___ðæt___maɪ___hɑrt___wɑnts___tə___ɪkˈsprɛs"
"31","social media channels, reach, over a million, people, every week","Và thông qua tất cả các kênh mạng xã hội của mình, tôi tiếp cận hơn một triệu người mỗi tuần.","And through all my **social media channels** I **reach over a million people** every week.","And___through___all___my___**social___media___channels**___I___**reach___over___a___million___people**___every___week.","/ənd θru ɔl maɪ ˈsoʊʃəl ˈmidiə ˈtʃænəlz aɪ ritʃ ˈoʊvər ə ˈmɪljən ˈpipəl ˈɛvri wik/","ənd___θru___ɔl___maɪ___ˈsoʊʃəl___ˈmidiə___ˈtʃænəlz___aɪ___ritʃ___ˈoʊvər___ə___ˈmɪljən___ˈpipəl___ˈɛvri___wik"
"32","live together, husband","Tôi sống cùng với Johan, người sắp trở thành chồng của tôi.","I live together with Johan, my **soon to be husband**.","I___live___together___with___Johan,___my___**soon___to___be___husband**.","/aɪ lɪv təˈɡɛðər wɪð ˈjoʊhɑn maɪ sun tə bi ˈhʌzbənd/","aɪ___lɪv___təˈɡɛðər___wɪð___ˈjoʊhɑn___maɪ___sun___tə___bi___ˈhʌzbənd"
"33","recently, started working, full-time, silversmith, jewelry brand","Và gần đây, anh ấy bắt đầu làm việc toàn thời gian với vai trò thợ bạc trong thương hiệu trang sức của riêng chúng tôi.","And recently, he started working **full-time** as a **silversmith** in our own **jewelry brand**.","And___recently,___he___started___working___**full-time**___as___a___**silversmith**___in___our___own___**jewelry___brand**.","/ənd ˈrisəntli hi ˈstɑrtəd ˈwɜrkɪŋ ˈfʊl.taɪm æz ə ˈsɪlvərˌsmɪθ ɪn aʊr oʊn ˈdʒuəlri brænd/","ənd___ˈrisəntli___hi___ˈstɑrtəd___ˈwɜrkɪŋ___ˈfʊl.taɪm___æz___ə___ˈsɪlvərˌsmɪθ___ɪn___aʊr___oʊn___ˈdʒuəlri___brænd"
"34","fellow friend, cats","Và tôi vẫn còn người bạn đồng hành Nanook và hai chú mèo...","And I still have my **fellow friend** Nanook and two cats...","And___I___still___have___my___**fellow___friend**___Nanook___and___two___cats...","/ənd aɪ stɪl hæv maɪ ˈfɛloʊ frɛnd nəˈnuk ənd tu kæts/","ənd___aɪ___stɪl___hæv___maɪ___ˈfɛloʊ___frɛnd___nəˈnuk___ənd___tu___kæts"
"35","a cow, whose name, Stjärna, means, in Swedish","Và một con bò tên là Stjärna, có nghĩa là ""ngôi sao"" trong tiếng Thụy Điển.","And a cow whose name is Stjärna Which **means** ""star"" in Swedish.","And___a___cow___whose___name___is___Stjärna___Which___**means**___""star""___in___Swedish.","/ənd ə kaʊ huz neɪm ɪz ˈstjɛrnə wɪtʃ minz stɑr ɪn ˈswidɪʃ/","ənd___ə___kaʊ___huz___neɪm___ɪz___ˈstjɛrnə___wɪtʃ___minz___stɑr___ɪn___ˈswidɪʃ"
"36","still, my wish, give, something beautiful, to this world","Và điều tôi vẫn mong ước là mang đến điều gì đó đẹp đẽ cho thế giới này.","And still, **my wish** is to **give something beautiful** to this world.","And___still,___**my___wish**___is___to___**give___something___beautiful**___to___this___world.","/ənd stɪl maɪ wɪʃ ɪz tə ɡɪv ˈsʌmθɪŋ ˈbjutəfəl tə ðɪs wɜrld/","ənd___stɪl___maɪ___wɪʃ___ɪz___tə___ɡɪv___ˈsʌmθɪŋ___ˈbjutəfəl___tə___ðɪs___wɜrld"
"37","breaks through, barriers, soul","Một điều gì đó phá vỡ mọi rào cản và chạm đến tâm hồn.","Something that **breaks through our barriers** and **reaches the soul**.","Something___that___**breaks___through___our___barriers**___and___**reaches___the___soul**.","/ˈsʌmθɪŋ ðæt breɪks θru aʊr ˈbæriərz ənd ˈritʃəz ðə soʊl/","ˈsʌmθɪŋ___ðæt___breɪks___θru___aʊr___ˈbæriərz___ənd___ˈritʃəz___ðə___soʊl"
"38","one of my photos, sold worldwide, as a, canvas, IKEA","Và một trong những bức ảnh của tôi giờ đây sẽ được bán trên toàn thế giới dưới dạng tranh canvas tại IKEA.","And one of my photos will now be **sold worldwide** as a **canvas** on IKEA.","And___one___of___my___photos___will___now___be___**sold___worldwide**___as___a___**canvas**___on___IKEA.","/ənd wʌn ʌv maɪ ˈfoʊtoʊz wɪl naʊ bi soʊld ˈwɜrldˌwaɪd æz ə ˈkænvəs ɑn aɪˈkiə/","ənd___wʌn___ʌv___maɪ___ˈfoʊtoʊz___wɪl___naʊ___bi___soʊld___ˈwɜrldˌwaɪd___æz___ə___ˈkænvəs___ɑn___aɪˈkiə"
"39","taken, minutes","Bức ảnh được chụp chỉ cách nơi tôi sống vài phút.","The photo was taken just **some minutes from** where I live.","The___photo___was___taken___just___**some___minutes___from**___where___I___live.","/ðə ˈfoʊtoʊ wʌz ˈteɪkən dʒʌst sʌm ˈmɪnəts frʌm wɛr aɪ lɪv/","ðə___ˈfoʊtoʊ___wʌz___ˈteɪkən___dʒʌst___sʌm___ˈmɪnəts___frʌm___wɛr___aɪ___lɪv"
"40","early morning, October, old bridge, grandfather built, years ago","Một buổi sáng sớm tháng Mười, từ cây cầu cũ mà ông tôi đã xây dựng cách đây 80 năm.","An early morning in October from an **old bridge** that my **grandfather built** 80 years ago.","An___early___morning___in___October___from___an___**old___bridge**___that___my___**grandfather___built**___80___years___ago.","/ən ˈɜrli ˈmɔrnɪŋ ɪn ɑkˈtoʊbər frʌm æn oʊld brɪdʒ ðæt maɪ ˈɡrænˌfɑðər bɪlt ˈeɪti jɪrz əˈɡoʊ/","ən___ˈɜrli___ˈmɔrnɪŋ___ɪn___ɑkˈtoʊbər___frʌm___æn___oʊld___brɪdʒ___ðæt___maɪ___ˈɡrænˌfɑðər___bɪlt___ˈeɪti___jɪrz___əˈɡoʊ"
"41","one of all, magical moments, got to experience, during, years here","Một trong tất cả những khoảnh khắc kỳ diệu mà tôi đã được trải nghiệm trong những năm tháng ở đây.","One of all the **magical moments** that I've got to **experience** during my years here.","One___of___all___the___**magical___moments**___that___I've___got___to___**experience**___during___my___years___here.","/wʌn ʌv ɔl ðə ˈmædʒɪkəl ˈmoʊmənts ðæt aɪv ɡɑt tə ɪkˈspɪriəns ˈdʊrɪŋ maɪ jɪrz hɪr/","wʌn___ʌv___ɔl___ðə___ˈmædʒɪkəl___ˈmoʊmənts___ðæt___aɪv___ɡɑt___tə___ɪkˈspɪriəns___ˈdʊrɪŋ___maɪ___jɪrz___hɪr"
"42","learned, years","Tôi đã học được rất nhiều điều trong những năm qua.","I have **learned so much** during these years.","I___have___**learned___so___much**___during___these___years.","/aɪ hæv lɜrnd soʊ mʌtʃ ˈdʊrɪŋ ðiz jɪrz/","aɪ___hæv___lɜrnd___soʊ___mʌtʃ___ˈdʊrɪŋ___ðiz___jɪrz"
"43","most of all, feeling grateful, small things, key to, big things","Trên hết, cảm thấy biết ơn những điều nhỏ bé trong cuộc sống chính là chìa khóa dẫn đến những điều lớn lao.","Most of all, that **feeling grateful for** the small things in life is **the key to** the big things.","Most___of___all,___that___**feeling___grateful___for**___the___small___things___in___life___is___**the___key___to**___the___big___things.","/moʊst ʌv ɔl ðæt ˈfilɪŋ ˈɡreɪtfəl fɔr ðə smɔl θɪŋz ɪn laɪf ɪz ðə ki tə ðə bɪɡ θɪŋz/","moʊst___ʌv___ɔl___ðæt___ˈfilɪŋ___ˈɡreɪtfəl___fɔr___ðə___smɔl___θɪŋz___ɪn___laɪf___ɪz___ðə___ki___tə___ðə___bɪɡ___θɪŋz"
"44","only we, ourselves, sets the limits, what is possible, and not","Và chính chúng ta là người đặt ra giới hạn cho những gì có thể và không thể.","And that it's only we, ourselves, that **sets the limits** of what is **possible** and not.","And___that___it's___only___we,___ourselves,___that___**sets___the___limits**___of___what___is___**possible**___and___not.","/ənd ðæt ɪts ˈoʊnli wi aʊrˈsɛlvz ðæt sɛts ðə ˈlɪməts ʌv wʌt ɪz ˈpɑsəbəl ənd nɑt/","ənd___ðæt___ɪts___ˈoʊnli___wi___aʊrˈsɛlvz___ðæt___sɛts___ðə___ˈlɪməts___ʌv___wʌt___ɪz___ˈpɑsəbəl___ənd___nɑt"
"45","patience, never give up","Và hãy kiên nhẫn và không bao giờ từ bỏ.","And to **have patience** and **never give up**.","And___to___**have___patience**___and___**never___give___up**.","/ənd tə hæv ˈpeɪʃəns ənd ˈnɛvər ɡɪv ʌp/","ənd___tə___hæv___ˈpeɪʃəns___ənd___ˈnɛvər___ɡɪv___ʌp"
"46","never be afraid, losing your feet, on the ground, sometimes, best thing","Và đừng bao giờ sợ mất đi sự vững vàng dưới chân mình, vì đôi khi đó có thể là điều tuyệt vời nhất mà bạn từng làm.","And never **be afraid of losing your feet on the ground** cause sometimes that can be **the best thing** you will ever do.","And___never___**be___afraid___of___losing___your___feet___on___the___ground**___cause___sometimes___that___can___be___**the___best___thing**___you___will___ever___do.","/ənd ˈnɛvər bi əˈfreɪd ʌv ˈluzɪŋ jʊr fit ɑn ðə ɡraʊnd kɔz ˈsʌmˌtaɪmz ðæt kæn bi ðə bɛst θɪŋ ju wɪl ˈɛvər du/","ənd___ˈnɛvər___bi___əˈfreɪd___ʌv___ˈluzɪŋ___jʊr___fit___ɑn___ðə___ɡraʊnd___kɔz___ˈsʌmˌtaɪmz___ðæt___kæn___bi___ðə___bɛst___θɪŋ___ju___wɪl___ˈɛvər___du"
