"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"11","unloads, heaps of sugar, industrial-grade mixer","Một công nhân đổ những đống đường lớn vào máy trộn công nghiệp.","A worker unloads **heaps of** sugar into an **industrial-grade mixer**.","A___worker___unloads___**heaps___of**___sugar___into___an___**industrial-grade___mixer**.","/ə ˈwɜrkɚ ʌnˈloʊdz hips əv ˈʃʊgɚ ˈɪntu ən ɪnˈdʌstriəl.ˈgreɪd ˈmɪksɚ/","ə___ˈwɜrkɚ___ʌnˈloʊdz___hips___əv___ˈʃʊgɚ___ˈɪntu___ən___ɪnˈdʌstriəl.ˈgreɪd___ˈmɪksɚ"
"12","next, adds, two kinds of cocoa, processed beforehand, milder and smoother","Tiếp theo, anh ấy cho vào hai loại ca cao, cả hai loại đều được xử lý trước để làm cho chúng dịu hơn và mịn hơn.","Next, he adds two kinds of cocoa, both types are **processed beforehand** to make them **milder and smoother**.","Next,___he___adds___two___kinds___of___cocoa,___both___types___are___**processed___beforehand**___to___make___them___**milder___and___smoother**.","/nɛkst hi ædz tu kaɪndz əv ˈkoʊkoʊ boʊθ taɪps ɑr ˈprɑsɛst bɪˈfɔrhænd tə meɪk ðɛm ˈmaɪldɚ ænd ˈsmuðɚ/","nɛkst___hi___ædz___tu___kaɪndz___əv___ˈkoʊkoʊ___boʊθ___taɪps___ɑr___ˈprɑsɛst___bɪˈfɔrhænd___tə___meɪk___ðɛm___ˈmaɪldɚ___ænd___ˈsmuðɚ"
"13","signature look, taste","Ca cao mang lại cho bánh Oreo hương vị và diện mạo đặc trưng của chúng.","The cocoa gives the Oreo cookies their **signature look** and taste.","The___cocoa___gives___the___Oreo___cookies___their___**signature___look**___and___taste.","/ðə ˈkoʊkoʊ gɪvz ðə ˈɔrioʊ ˈkʊkiz ðɛr ˈsɪgnətʃɚ lʊk ænd teɪst/","ðə___ˈkoʊkoʊ___gɪvz___ðə___ˈɔrioʊ___ˈkʊkiz___ðɛr___ˈsɪgnətʃɚ___lʊk___ænd___teɪst"
"14","pre-mix, follows","Tiếp theo là một hỗn hợp trộn sẵn gồm muối và các nguyên liệu khác.","A **pre-mix** of salt and other ingredients follows.","A___**pre-mix**___of___salt___and___other___ingredients___follows.","/ə ˈpri.mɪks əv sɔlt ænd ˈʌðɚ ɪnˈgridiənts ˈfɑloʊz/","ə___ˈpri.mɪks___əv___sɔlt___ænd___ˈʌðɚ___ɪnˈgridiənts___ˈfɑloʊz"
"15","specially formulated, canola oil mixture, dry ingredients, help, form into a batter","Một hỗn hợp dầu hạt cải được pha chế đặc biệt sẽ giúp các nguyên liệu khô này kết dính thành hỗn hợp bột.","A **specially formulated** canola oil mixture will help these **dry ingredients** form into a batter.","A___**specially___formulated**___canola___oil___mixture___will___help___these___**dry___ingredients**___form___into___a___batter.","/ə ˈspɛʃəli ˈfɔrmjəleɪtəd kəˈnoʊlə ɔɪl ˈmɪkstʃɚ wɪl hɛlp ðiz draɪ ɪnˈgridiənts fɔrm ˈɪntu ə ˈbætɚ/","ə___ˈspɛʃəli___ˈfɔrmjəleɪtəd___kəˈnoʊlə___ɔɪl___ˈmɪkstʃɚ___wɪl___hɛlp___ðiz___draɪ___ɪnˈgridiənts___fɔrm___ˈɪntu___ə___ˈbætɚ"
"16","huge beaters, blend together, water is added, starts to look like, bubbling chocolate mixture","Khi những chiếc máy đánh trộn cỡ lớn trộn đều mọi thứ, nước được thêm vào và hỗn hợp bột bắt đầu trông giống như một hỗn hợp sô cô la đang sủi bọt.","As **huge beaters** blend everything together, water is added and the batter starts to look like a **bubbling chocolate mixture**.","As___**huge___beaters**___blend___everything___together,___water___is___added___and___the___batter___starts___to___look___like___a___**bubbling___chocolate___mixture**.","/æz hjudʒ ˈbitɚz blɛnd ˈɛvriθɪŋ təˈgɛðɚ ˈwɔtɚ ɪz ˈædəd ænd ðə ˈbætɚ stɑrts tə lʊk laɪk ə ˈbʌbəlɪŋ ˈtʃɑklət ˈmɪkstʃɚ/","æz___hjudʒ___ˈbitɚz___blɛnd___ˈɛvriθɪŋ___təˈgɛðɚ___ˈwɔtɚ___ɪz___ˈædəd___ænd___ðə___ˈbætɚ___stɑrts___tə___lʊk___laɪk___ə___ˈbʌbəlɪŋ___ˈtʃɑklət___ˈmɪkstʃɚ"
"17","dry ice, lower the temperature","Sau đó, đá khô được thêm vào để hạ nhiệt độ của hỗn hợp.","Then, **dry ice** is added to lower the mixture's temperature.","Then,___**dry___ice**___is___added___to___lower___the___mixture's___temperature.","/ðɛn draɪ aɪs ɪz ˈædəd tə ˈloʊɚ ðə ˈmɪkstʃɚz ˈtɛmprətʃɚ/","ðɛn___draɪ___aɪs___ɪz___ˈædəd___tə___ˈloʊɚ___ðə___ˈmɪkstʃɚz___ˈtɛmprətʃɚ"
"18","important, flour is added, turn out, less crumbly, room temperature","Điều này quan trọng vì khi bột mì được cho vào, phần bột nhào sẽ ít bị vỡ vụn hơn so với khi được giữ ở nhiệt độ phòng.","This is important because when flour is added, the dough will turn out to be **less crumbly** than it would have been if it was kept at **room temperature**.","This___is___important___because___when___flour___is___added,___the___dough___will___turn___out___to___be___**less___crumbly**___than___it___would___have___been___if___it___was___kept___at___**room___temperature**.","/ðɪs ɪz ɪmˈpɔrtənt bɪˈkɔz wɛn ˈflaʊɚ ɪz ˈædəd ðə doʊ wɪl tɜrn aʊt tə bi lɛs ˈkrʌmbli ðæn ɪt wʊd hæv bɪn ɪf ɪt wʌz kɛpt æt rum ˈtɛmprətʃɚ/","ðɪs___ɪz___ɪmˈpɔrtənt___bɪˈkɔz___wɛn___ˈflaʊɚ___ɪz___ˈædəd___ðə___doʊ___wɪl___tɜrn___aʊt___tə___bi___lɛs___ˈkrʌmbli___ðæn___ɪt___wʊd___hæv___bɪn___ɪf___ɪt___wʌz___kɛpt___æt___rum___ˈtɛmprətʃɚ"
"19","leavening ingredients, goes in next","Một hỗn hợp trộn sẵn gồm các chất tạo men được cho vào tiếp theo.","A pre-mix of **leavening ingredients** goes in next.","A___pre-mix___of___**leavening___ingredients**___goes___in___next.","/ə ˈpri.mɪks əv ˈlɛvənɪŋ ɪnˈgridiənts goʊz ɪn nɛkst/","ə___ˈpri.mɪks___əv___ˈlɛvənɪŋ___ɪnˈgridiənts___goʊz___ɪn___nɛkst"
"20","final mix, ready to go","Một lần trộn cuối cùng và phần bột sô cô la đã sẵn sàng.","One final mix and the chocolate dough is **ready to go**.","One___final___mix___and___the___chocolate___dough___is___**ready___to___go**.","/wʌn ˈfaɪnəl mɪks ænd ðə ˈtʃɑklət doʊ ɪz ˈrɛdi tə goʊ/","wʌn___ˈfaɪnəl___mɪks___ænd___ðə___ˈtʃɑklət___doʊ___ɪz___ˈrɛdi___tə___goʊ"
"21","shovel, cookie dough, grate, press through, molding machine","Sau đó, công nhân xúc bột bánh vào một tấm lưới và ép chúng qua tấm lưới đó vào máy tạo hình.","The workers then **shovel** the cookie dough into a grate and press them through the grate into a **molding machine**.","The___workers___then___**shovel**___the___cookie___dough___into___a___grate___and___press___them___through___the___grate___into___a___**molding___machine**.","/ðə ˈwɜrkɚz ðɛn ˈʃʌvəl ðə ˈkʊki doʊ ˈɪntu ə greɪt ænd prɛs ðɛm θru ðə greɪt ˈɪntu ə ˈmoʊldɪŋ məˈʃin/","ðə___ˈwɜrkɚz___ðɛn___ˈʃʌvəl___ðə___ˈkʊki___doʊ___ˈɪntu___ə___greɪt___ænd___prɛs___ðɛm___θru___ðə___greɪt___ˈɪntu___ə___ˈmoʊldɪŋ___məˈʃin"
"22","portion, large clumps, individual pieces, crucial, molding process","Điều này giúp phân chia những khối bột bánh lớn thành từng miếng nhỏ riêng lẻ, điều rất quan trọng đối với quá trình tạo hình.","This helps **portion** the large clumps of cookie dough into individual pieces that are **crucial** for the molding process.","This___helps___**portion**___the___large___clumps___of___cookie___dough___into___individual___pieces___that___are___**crucial**___for___the___molding___process.","/ðɪs hɛlps ˈpɔrʃən ðə lɑrdʒ klʌmps əv ˈkʊki doʊ ˈɪntu ˌɪndəˈvɪdʒuəl ˈpisəz ðæt ɑr ˈkruʃəl fɔr ðə ˈmoʊldɪŋ ˈprɑsɛs/","ðɪs___hɛlps___ˈpɔrʃən___ðə___lɑrdʒ___klʌmps___əv___ˈkʊki___doʊ___ˈɪntu___ˌɪndəˈvɪdʒuəl___ˈpisəz___ðæt___ɑr___ˈkruʃəl___fɔr___ðə___ˈmoʊldɪŋ___ˈprɑsɛs"
"23","molding machine, biscuit shapes","Máy tạo hình sau đó nặn bột thành hình dạng bánh quy.","The molding machine then forms the dough into **biscuit shapes**.","The___molding___machine___then___forms___the___dough___into___**biscuit___shapes**.","/ðə ˈmoʊldɪŋ məˈʃin ðɛn fɔrmz ðə doʊ ˈɪntu ˈbɪskət ʃeɪps/","ðə___ˈmoʊldɪŋ___məˈʃin___ðɛn___fɔrmz___ðə___doʊ___ˈɪntu___ˈbɪskət___ʃeɪps"
"24","intricate design, logo, engraved, roller, presses","Máy cũng có phần thiết kế và logo tinh xảo được khắc vào một trục lăn để in lên bề mặt bánh.","It also has the **intricate design** and logo **engraved** into a roller that presses it onto the cookies.","It___also___has___the___**intricate___design**___and___logo___**engraved**___into___a___roller___that___presses___it___onto___the___cookies.","/ɪt ˈɔlsoʊ hæz ðə ˈɪntrəkət dɪˈzaɪn ænd ˈloʊgoʊ ɪnˈgreɪvd ˈɪntu ə ˈroʊlɚ ðæt ˈprɛsəz ɪt ˈɑntu ðə ˈkʊkiz/","ɪt___ˈɔlsoʊ___hæz___ðə___ˈɪntrəkət___dɪˈzaɪn___ænd___ˈloʊgoʊ___ɪnˈgreɪvd___ˈɪntu___ə___ˈroʊlɚ___ðæt___ˈprɛsəz___ɪt___ˈɑntu___ðə___ˈkʊkiz"
"25","churns out, impressive, every hour","Chiếc máy này sản xuất ra một con số ấn tượng là 5.000 chiếc bánh mỗi giờ.","This machine **churns out** an impressive 5,000 cookies every hour.","This___machine___**churns___out**___an___impressive___5,000___cookies___every___hour.","/ðɪs məˈʃin tʃɜrnz aʊt ən ɪmˈprɛsɪv ˈfaɪv.ˈθaʊzənd ˈkʊkiz ˈɛvri aʊɚ/","ðɪs___məˈʃin___tʃɜrnz___aʊt___ən___ɪmˈprɛsɪv___ˈfaɪv.ˈθaʊzənd___ˈkʊkiz___ˈɛvri___aʊɚ"
"26","baking part, process, silicon conveyor, move from, steel one","Đối với công đoạn nướng bánh, bánh được di chuyển từ băng chuyền silicon sang một băng chuyền bằng thép.","For the baking part of the process, the cookies move from a **silicon conveyor** onto a **steel** one.","For___the___baking___part___of___the___process,___the___cookies___move___from___a___**silicon___conveyor**___onto___a___**steel**___one.","/fɔr ðə ˈbeɪkɪŋ pɑrt əv ðə ˈprɑsɛs ðə ˈkʊkiz muv frʌm ə ˈsɪləkən kənˈveɪɚ ˈɑntu ə stil wʌn/","fɔr___ðə___ˈbeɪkɪŋ___pɑrt___əv___ðə___ˈprɑsɛs___ðə___ˈkʊkiz___muv___frʌm___ə___ˈsɪləkən___kənˈveɪɚ___ˈɑntu___ə___stil___wʌn"
"27","thermal properties, efficient baking, crisp attractive base, smooth surface, clean product release","Điều này là vì các đặc tính truyền nhiệt tuyệt vời của băng chuyền giúp nướng bánh hiệu quả và tạo ra lớp đế giòn, đẹp mắt, trong khi bề mặt cứng và nhẵn đảm bảo bánh dễ dàng tách ra sạch sẽ.","This is because the excellent **thermal properties** of the belt deliver efficient baking and a crisp, attractive base while the hard, smooth surface ensures easy **clean product release**.","This___is___because___the___excellent___**thermal___properties**___of___the___belt___deliver___efficient___baking___and___a___crisp,___attractive___base___while___the___hard,___smooth___surface___ensures___easy___**clean___product___release**.","/ðɪs ɪz bɪˈkɔz ðə ˈɛksələnt ˈθɜrməl ˈprɑpɚtiz əv ðə bɛlt dɪˈlɪvɚ ɪˈfɪʃənt ˈbeɪkɪŋ ænd ə krɪsp əˈtræktɪv beɪs waɪl ðə hɑrd smuð ˈsɜrfəs ɪnˈʃʊrz ˈizi klin ˈprɑdʌkt rɪˈlis/","ðɪs___ɪz___bɪˈkɔz___ðə___ˈɛksələnt___ˈθɜrməl___ˈprɑpɚtiz___əv___ðə___bɛlt___dɪˈlɪvɚ___ɪˈfɪʃənt___ˈbeɪkɪŋ___ænd___ə___krɪsp___əˈtræktɪv___beɪs___waɪl___ðə___hɑrd___smuð___ˈsɜrfəs___ɪnˈʃʊrz___ˈizi___klin___ˈprɑdʌkt___rɪˈlis"
"28","travel through, 85-meter long, industrial-grade oven, several minutes, even baking","Sau đó, bánh di chuyển qua một lò nướng công nghiệp dài 85 mét trong vài phút và được nướng chín đều.","The cookies then travel through an 85-meter long **industrial-grade oven** for several minutes and receive an **even baking**.","The___cookies___then___travel___through___an___85-meter___long___**industrial-grade___oven**___for___several___minutes___and___receive___an___**even___baking**.","/ðə ˈkʊkiz ðɛn ˈtrævəl θru ən ˈeɪti.faɪv.ˈmitɚ lɔŋ ɪnˈdʌstriəl.ˈgreɪd ˈʌvən fɔr ˈsɛvrəl ˈmɪnəts ænd rɪˈsiv ən ˈivən ˈbeɪkɪŋ/","ðə___ˈkʊkiz___ðɛn___ˈtrævəl___θru___ən___ˈeɪti.faɪv.ˈmitɚ___lɔŋ___ɪnˈdʌstriəl.ˈgreɪd___ˈʌvən___fɔr___ˈsɛvrəl___ˈmɪnəts___ænd___rɪˈsiv___ən___ˈivən___ˈbeɪkɪŋ"
"29","while, cookies, being cooled, vanilla cream filling, prepared","Trong khi bánh đang được làm nguội, phần kem nhân vani được chuẩn bị.","While the cookies are **being cooled**, the **vanilla cream filling** is prepared.","While___the___cookies___are___**being___cooled**,___the___**vanilla___cream___filling**___is___prepared.","/waɪl ðə ˈkʊkiz ɑr ˈbiɪŋ kuld ðə vəˈnɪlə krim ˈfɪlɪŋ ɪz prɪˈpɛrd/","waɪl___ðə___ˈkʊkiz___ɑr___ˈbiɪŋ___kuld___ðə___vəˈnɪlə___krim___ˈfɪlɪŋ___ɪz___prɪˈpɛrd"
"30","powdered sugar, vegetable shortening, vanilla flavoring, other ingredients, taste and texture","Phần kem nhân được làm từ hỗn hợp đường bột, mỡ thực vật (shortening), hương liệu vani, và đôi khi có thêm các nguyên liệu khác để đạt được hương vị và kết cấu mong muốn.","The filling is made from a mixture of powdered sugar, **vegetable shortening**, vanilla flavoring, and sometimes other ingredients to achieve a desired **taste and texture**.","The___filling___is___made___from___a___mixture___of___powdered___sugar,___**vegetable___shortening**,___vanilla___flavoring,___and___sometimes___other___ingredients___to___achieve___a___desired___**taste___and___texture**.","/ðə ˈfɪlɪŋ ɪz meɪd frʌm ə ˈmɪkstʃɚ əv ˈpaʊdɚd ˈʃʊgɚ ˈvɛdʒtəbəl ˈʃɔrtənɪŋ vəˈnɪlə ˈfleɪvərɪŋ ænd ˈsʌmtaɪmz ˈʌðɚ ɪnˈgridiənts tə əˈtʃiv ə dɪˈzaɪrd teɪst ænd ˈtɛkstʃɚ/","ðə___ˈfɪlɪŋ___ɪz___meɪd___frʌm___ə___ˈmɪkstʃɚ___əv___ˈpaʊdɚd___ˈʃʊgɚ___ˈvɛdʒtəbəl___ˈʃɔrtənɪŋ___vəˈnɪlə___ˈfleɪvərɪŋ___ænd___ˈsʌmtaɪmz___ˈʌðɚ___ɪnˈgridiənts___tə___əˈtʃiv___ə___dɪˈzaɪrd___teɪst___ænd___ˈtɛkstʃɚ"
"31","once, vanilla filling, prepared, loaded onto, pump","Khi phần kem nhân vani được chuẩn bị xong, nó được nạp vào một máy bơm.","Once the vanilla filling is prepared, it is **loaded onto** a pump.","Once___the___vanilla___filling___is___prepared,___it___is___**loaded___onto**___a___pump.","/wʌns ðə vəˈnɪlə ˈfɪlɪŋ ɪz prɪˈpɛrd ɪt ɪz ˈloʊdəd ˈɑntu ə pʌmp/","wʌns___ðə___vəˈnɪlə___ˈfɪlɪŋ___ɪz___prɪˈpɛrd___ɪt___ɪz___ˈloʊdəd___ˈɑntu___ə___pʌmp"
"32","device, controlled and precise, dispensing, filling, pump","Máy bơm là một thiết bị cho phép phân phối phần kem nhân một cách chính xác và có kiểm soát.","The pump is a device that allows **controlled and precise** **dispensing** of the filling.","The___pump___is___a___device___that___allows___**controlled___and___precise**___**dispensing**___of___the___filling.","/ðə pʌmp ɪz ə dɪˈvaɪs ðæt əˈlaʊz kənˈtroʊld ænd prɪˈsaɪs dɪˈspɛnsɪŋ əv ðə ˈfɪlɪŋ/","ðə___pʌmp___ɪz___ə___dɪˈvaɪs___ðæt___əˈlaʊz___kənˈtroʊld___ænd___prɪˈsaɪs___dɪˈspɛnsɪŋ___əv___ðə___ˈfɪlɪŋ"
"33","poured into, hopper, container, attached, pump","Phần kem nhân được đổ vào một phễu hoặc thùng chứa gắn liền với máy bơm.","The filling is poured into a **hopper** or container **attached** to the pump.","The___filling___is___poured___into___a___**hopper**___or___container___**attached**___to___the___pump.","/ðə ˈfɪlɪŋ ɪz pɔrd ˈɪntu ə ˈhɑpɚ ɔr kənˈteɪnɚ əˈtætʃt tə ðə pʌmp/","ðə___ˈfɪlɪŋ___ɪz___pɔrd___ˈɪntu___ə___ˈhɑpɚ___ɔr___kənˈteɪnɚ___əˈtætʃt___tə___ðə___pʌmp"
"34","on the other side, cool, desired crispness, ready for assembly, once","Ở phía bên kia, khi bánh đã nguội đến độ giòn mong muốn, chúng đã sẵn sàng để lắp ráp.","On the other side, once the cookies are cool to the **desired crispness**, they're **ready for assembly**.","On___the___other___side,___once___the___cookies___are___cool___to___the___**desired___crispness**,___they're___**ready___for___assembly**.","/ɑn ðə ˈʌðɚ saɪd wʌns ðə ˈkʊkiz ɑr kul tə ðə dɪˈzaɪrd ˈkrɪspnəs ðɛr ˈrɛdi fɔr əˈsɛmbli/","ɑn___ðə___ˈʌðɚ___saɪd___wʌns___ðə___ˈkʊkiz___ɑr___kul___tə___ðə___dɪˈzaɪrd___ˈkrɪspnəs___ðɛr___ˈrɛdi___fɔr___əˈsɛmbli"
"35","move to, another conveyor, feeds into, series of, chutes","Chúng di chuyển đến một băng chuyền khác dẫn vào một loạt các máng trượt.","They move to another conveyor which **feeds into** a **series of chutes**.","They___move___to___another___conveyor___which___**feeds___into**___a___**series___of___chutes**.","/ðeɪ muv tə əˈnʌðɚ kənˈveɪɚ wɪtʃ fidz ˈɪntu ə ˈsɪriz əv ʃuts/","ðeɪ___muv___tə___əˈnʌðɚ___kənˈveɪɚ___wɪtʃ___fidz___ˈɪntu___ə___ˈsɪriz___əv___ʃuts"
