"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"11","by all means, happy to be here","Không, tất nhiên rồi, rất vui khi được có mặt ở đây.","No, **by all means**, happy to be here.","No,___**by___all___means**,___happy___to___be___here.","/noʊ baɪ ɔl minz ˈhæpi tə bi hɪr/","noʊ___baɪ___ɔl___minz___ˈhæpi___tə___bi___hɪr"
"12","quick intro, start with","Vâng. Vậy thì, sao chúng ta không bắt đầu bằng một phần giới thiệu ngắn? (Ghép từ hai câu ngắn liền kề.)","Yes. So, why don't we just start with a **quick intro**?","Yes.___So,___why___don't___we___just___start___with___a___**quick___intro**?","/jɛs soʊ waɪ doʊnt wi dʒʌst stɑrt wɪð ə kwɪk ˈɪntroʊ/","jɛs___soʊ___waɪ___doʊnt___wi___dʒʌst___stɑrt___wɪð___ə___kwɪk___ˈɪntroʊ"
"13","who you are, come to Vietnam","Bạn là ai, tại sao bạn lại đến Việt Nam?","Who you are, why did you **come to Vietnam**?","Who___you___are,___why___did___you___**come___to___Vietnam**?","/hu ju ɑr waɪ dɪd ju kʌm tə ˌviɛtˈnɑm/","hu___ju___ɑr___waɪ___dɪd___ju___kʌm___tə___ˌviɛtˈnɑm"
"14","elevator introduction, give us","Hãy cho chúng tôi một lời giới thiệu ngắn kiểu ""thang máy"" trong 60 giây.","Give us a 60 **elevator introduction**.","Give___us___a___60___**elevator___introduction**.","/ɡɪv ʌs ə ˈsɪksti ɪˈlɛveɪtər ˌɪntrəˈdʌkʃən/","ɡɪv___ʌs___ə___ˈsɪksti___ɪˈlɛveɪtər___ˌɪntrəˈdʌkʃən"
"15","Yan Slottner, from Germany, Southeast Asia, lived in Malaysia, worked as an executive, six years in Vietnam","Được rồi. Vậy, ừm, Yan Slottner, và ban đầu từ Đức, và đến khu vực này của thế giới, không hẳn là khu vực này mà là Đông Nam Á, vào năm 2001, và rồi bắt đầu với một công ty tư vấn, và sống ở Malaysia trong bốn năm, sang Singapore 10 năm, rồi làm giám đốc điều hành trong 5 năm ở Thái Lan, và giờ đã sáu năm ở đây, tại Việt Nam.","Okay. So um Yan Slottner and originally from Germany and came to this part of the world, not exactly this part of the world but **Southeast Asia** in 2001 and then and started off with a **consulting company** was and lived in Malaysia for four years went to Singapore for 10 years and then worked as an **executive** for 5 years in Thailand and then now for six years here in Vietnam.","Okay.___So___um___Yan___Slottner___and___originally___from___Germany___and___came___to___this___part___of___the___world,___not___exactly___this___part___of___the___world___but___**Southeast___Asia**___in___2001___and___then___and___started___off___with___a___**consulting___company**___was___and___lived___in___Malaysia___for___four___years___went___to___Singapore___for___10___years___and___then___worked___as___an___**executive**___for___5___years___in___Thailand___and___then___now___for___six___years___here___in___Vietnam.","/oʊˈkeɪ soʊ ʌm jæn ˈslɑtnər ænd əˈrɪdʒənəli frʌm ˈdʒɜrməni ænd keɪm tə ðɪs pɑrt əv ðə wɜrld nɑt ɪɡˈzæktli ðɪs pɑrt əv ðə wɜrld bʌt ˌsaʊˈθist ˈeɪʒə ɪn ˈtwɛnti.oʊˈwʌn ænd ðɛn ænd ˈstɑrtɪd ɔf wɪð ə kənˈsʌltɪŋ ˈkʌmpəni wəz ænd lɪvd ɪn məˈleɪʒə fɔr fɔr jɪrz wɛnt tə ˈsɪŋɡəpɔr fɔr tɛn jɪrz ænd ðɛn wɜrkt əz ən ɪɡˈzɛkjətɪv fɔr faɪv jɪrz ɪn ˈtaɪlænd ænd ðɛn naʊ fɔr sɪks jɪrz hɪr ɪn ˌviɛtˈnɑm/","oʊˈkeɪ___soʊ___ʌm___jæn___ˈslɑtnər___ænd___əˈrɪdʒənəli___frʌm___ˈdʒɜrməni___ænd___keɪm___tə___ðɪs___pɑrt___əv___ðə___wɜrld___nɑt___ɪɡˈzæktli___ðɪs___pɑrt___əv___ðə___wɜrld___bʌt___ˌsaʊˈθist___ˈeɪʒə___ɪn___ˈtwɛnti.oʊˈwʌn___ænd___ðɛn___ænd___ˈstɑrtɪd___ɔf___wɪð___ə___kənˈsʌltɪŋ___ˈkʌmpəni___wəz___ænd___lɪvd___ɪn___məˈleɪʒə___fɔr___fɔr___jɪrz___wɛnt___tə___ˈsɪŋɡəpɔr___fɔr___tɛn___jɪrz___ænd___ðɛn___wɜrkt___əz___ən___ɪɡˈzɛkjətɪv___fɔr___faɪv___jɪrz___ɪn___ˈtaɪlænd___ænd___ðɛn___naʊ___fɔr___sɪks___jɪrz___hɪr___ɪn___ˌviɛtˈnɑm"
"16","coming to Vietnam, GDP growth charts, amazing story, dynamic transformation, easy decision","Ừm, tôi nghĩ lý do đến Việt Nam thực ra khá đơn giản, bạn chỉ cần nhìn vào các biểu đồ tăng trưởng GDP, và tôi nghĩ đó là một câu chuyện tuyệt vời, và tôi luôn muốn ở những nơi có nhiều sự chuyển đổi năng động đang diễn ra, nên đó thực ra là một lựa chọn khá dễ dàng, và rồi bạn có cơ hội làm việc trên một nền tảng như ngân hàng công nghệ trong một thị trường như vậy, và đó thực sự là một quyết định rất dễ dàng để đưa ra.","Um I think why coming to Vietnam is I think relatively simple right you just look at the **GDP growth charts** right and I think it's an amazing story right and and I always like to be in in places where there's a lot of **dynamic transformation** going on so it was actually a relatively easy call and then you you get the chance to work on a platform like tech bank in such a market right and and it was a very very **easy decision** actually to make","Um___I___think___why___coming___to___Vietnam___is___I___think___relatively___simple___right___you___just___look___at___the___**GDP___growth___charts**___right___and___I___think___it's___an___amazing___story___right___and___and___I___always___like___to___be___in___in___places___where___there's___a___lot___of___**dynamic___transformation**___going___on___so___it___was___actually___a___relatively___easy___call___and___then___you___you___get___the___chance___to___work___on___a___platform___like___tech___bank___in___such___a___market___right___and___and___it___was___a___very___very___**easy___decision**___actually___to___make","/ʌm aɪ θɪŋk waɪ ˈkʌmɪŋ tə ˌviɛtˈnɑm ɪz aɪ θɪŋk ˈrɛlətɪvli ˈsɪmpəl raɪt ju dʒʌst lʊk æt ðə ˌdʒiˌdiˈpi ɡroʊθ tʃɑrts raɪt ænd aɪ θɪŋk ɪts ən əˈmeɪzɪŋ ˈstɔri raɪt ænd ænd aɪ ˈɔlweɪz laɪk tə bi ɪn ɪn ˈpleɪsəz wɛr ðɛrz ə lɑt əv daɪˈnæmɪk ˌtrænsfərˈmeɪʃən ˈɡoʊɪŋ ɑn soʊ ɪt wəz ˈæktʃuəli ə ˈrɛlətɪvli ˈizi kɔl ænd ðɛn ju ju ɡɛt ðə tʃæns tə wɜrk ɑn ə ˈplætfɔrm laɪk tɛk bæŋk ɪn sʌtʃ ə ˈmɑrkət raɪt ænd ænd ɪt wəz ə ˈvɛri ˈvɛri ˈizi dɪˈsɪʒən ˈæktʃuəli tə meɪk/","ʌm___aɪ___θɪŋk___waɪ___ˈkʌmɪŋ___tə___ˌviɛtˈnɑm___ɪz___aɪ___θɪŋk___ˈrɛlətɪvli___ˈsɪmpəl___raɪt___ju___dʒʌst___lʊk___æt___ðə___ˌdʒiˌdiˈpi___ɡroʊθ___tʃɑrts___raɪt___ænd___aɪ___θɪŋk___ɪts___ən___əˈmeɪzɪŋ___ˈstɔri___raɪt___ænd___ænd___aɪ___ˈɔlweɪz___laɪk___tə___bi___ɪn___ɪn___ˈpleɪsəz___wɛr___ðɛrz___ə___lɑt___əv___daɪˈnæmɪk___ˌtrænsfərˈmeɪʃən___ˈɡoʊɪŋ___ɑn___soʊ___ɪt___wəz___ˈæktʃuəli___ə___ˈrɛlətɪvli___ˈizi___kɔl___ænd___ðɛn___ju___ju___ɡɛt___ðə___tʃæns___tə___wɜrk___ɑn___ə___ˈplætfɔrm___laɪk___tɛk___bæŋk___ɪn___sʌtʃ___ə___ˈmɑrkət___raɪt___ænd___ænd___ɪt___wəz___ə___ˈvɛri___ˈvɛri___ˈizi___dɪˈsɪʒən___ˈæktʃuəli___tə___meɪk"
"17","Um Michael, chime too, your team, deep into, the research","Ừm, Michael, tôi muốn anh cũng góp ý, vì nhóm của anh đã nghiên cứu rất sâu.","Um Michael I want you to **chime too** because your team **deep into the research**.","Um___Michael___I___want___you___to___**chime___too**___because___your___team___**deep___into___the___research**.","/ʌm ˈmaɪkəl aɪ wɑnt ju tə tʃaɪm tu bɪˈkɔz jʊr tim dip ˈɪntu ðə rɪˈsɜrtʃ/","ʌm___ˈmaɪkəl___aɪ___wɑnt___ju___tə___tʃaɪm___tu___bɪˈkɔz___jʊr___tim___dip___ˈɪntu___ðə___rɪˈsɜrtʃ"
"18","What was, first reaction, heard, folks like Jens, joining Techcombank","Phản ứng đầu tiên của anh là gì khi anh nghe tin những người như Jens gia nhập Techcombank?","What was your **first reaction** when you heard folks like Jens was **joining Techcombank**.","What___was___your___**first___reaction**___when___you___heard___folks___like___Jens___was___**joining___Techcombank**.","/wʌt wəz jʊr fɜrst riˈækʃən wɛn ju hɜrd foʊks laɪk jɛnz wəz ˈdʒɔɪnɪŋ ˈtɛkkɑmbæŋk/","wʌt___wəz___jʊr___fɜrst___riˈækʃən___wɛn___ju___hɜrd___foʊks___laɪk___jɛnz___wəz___ˈdʒɔɪnɪŋ___ˈtɛkkɑmbæŋk"
"19","6 years ago","Điều này đã xảy ra 6 năm trước.","This was **6 years ago**.","This___was___**6___years___ago**.","/ðɪs wəz sɪks jɪrz əˈɡoʊ/","ðɪs___wəz___sɪks___jɪrz___əˈɡoʊ"
"20","market saying","Thị trường lúc đó nói gì?","What was the **market saying**?","What___was___the___**market___saying**?","/wʌt wəz ðə ˈmɑrkət ˈseɪɪŋ/","wʌt___wəz___ðə___ˈmɑrkət___ˈseɪɪŋ"
"21","glossed over, amazing background, consulting company, McKenzie, the best in the world, BCG","Được rồi, trước hết, trong phần giới thiệu của mình, anh ấy đã lướt qua khá nhanh việc lý lịch của anh ấy tuyệt vời như thế nào — một công ty tư vấn, McKenzie, công ty hàng đầu thế giới, và cả BCG nữa.","Okay, so first of all, in his introduction, he kind of **glossed over** how amazing his background is, a consulting company, McKenzie, **the best in the world**, and also **BCG**.","Okay,___so___first___of___all,___in___his___introduction,___he___kind___of___**glossed___over**___how___amazing___his___background___is,___a___consulting___company,___McKenzie,___**the___best___in___the___world**,___and___also___**BCG**.","/oʊˈkeɪ soʊ fɜrst əv ɔl ɪn hɪz ˌɪntrəˈdʌkʃən hi kaɪnd əv ɡlɔst ˈoʊvər haʊ əˈmeɪzɪŋ hɪz ˈbækɡraʊnd ɪz ə kənˈsʌltɪŋ ˈkʌmpəni məˈkɛnzi ðə bɛst ɪn ðə wɜrld ænd ˈɔlsoʊ ˌbiˌsiˈdʒi/","oʊˈkeɪ___soʊ___fɜrst___əv___ɔl___ɪn___hɪz___ˌɪntrəˈdʌkʃən___hi___kaɪnd___əv___ɡlɔst___ˈoʊvər___haʊ___əˈmeɪzɪŋ___hɪz___ˈbækɡraʊnd___ɪz___ə___kənˈsʌltɪŋ___ˈkʌmpəni___məˈkɛnzi___ðə___bɛst___ɪn___ðə___wɜrld___ænd___ˈɔlsoʊ___ˌbiˌsiˈdʒi"
"22","And I, really feel, been in Vietnam, almost 20 years, now","Và tôi thực sự cảm thấy, vì tôi đã ở Việt Nam gần 20 năm rồi.","And I **really feel** so I've been in Vietnam for **almost 20 years** now.","And___I___**really___feel**___so___I've___been___in___Vietnam___for___**almost___20___years**___now.","/ænd aɪ ˈriəli fil soʊ aɪv bɪn ɪn ˌviɛtˈnɑm fɔr ˈɔlmoʊst ˈtwɛnti jɪrz naʊ/","ænd___aɪ___ˈriəli___fil___soʊ___aɪv___bɪn___ɪn___ˌviɛtˈnɑm___fɔr___ˈɔlmoʊst___ˈtwɛnti___jɪrz___naʊ"
"23","attract people, experience and stature, we've made it, super high profile, engaged with the country","Và khi, khi đất nước này có thể bắt đầu thu hút những người có kinh nghiệm và tầm vóc như bạn đến đây, thì giờ chúng ta biết là mình đã thành công, bạn biết đấy, vì trước đây khó khăn là làm sao để những người có hồ sơ năng lực rất cao thực sự muốn đến và gắn bó với đất nước này.","And when we when this country can start to **attract people** of your experience and stature here, now we know we've made it, you know, because before the the difficulty was getting people with a **super high profile** to actually want to come and be **engaged with the country**.","And___when___we___when___this___country___can___start___to___**attract___people**___of___your___experience___and___stature___here,___now___we___know___we've___made___it,___you___know,___because___before___the___the___difficulty___was___getting___people___with___a___**super___high___profile**___to___actually___want___to___come___and___be___**engaged___with___the___country**.","/ænd wɛn wi wɛn ðɪs ˈkʌntri kən stɑrt tə əˈtrækt ˈpipəl əv jʊr ɪkˈspɪriəns ænd ˈstætʃər hɪr naʊ wi noʊ wiv meɪd ɪt ju noʊ bɪˈkɔz bɪˈfɔr ðə ðə ˈdɪfɪkəlti wəz ˈɡɛtɪŋ ˈpipəl wɪð ə ˈsupər haɪ ˈproʊfaɪl tə ˈæktʃuəli wɑnt tə kʌm ænd bi ɪnˈɡeɪdʒd wɪð ðə ˈkʌntri/","ænd___wɛn___wi___wɛn___ðɪs___ˈkʌntri___kən___stɑrt___tə___əˈtrækt___ˈpipəl___əv___jʊr___ɪkˈspɪriəns___ænd___ˈstætʃər___hɪr___naʊ___wi___noʊ___wiv___meɪd___ɪt___ju___noʊ___bɪˈkɔz___bɪˈfɔr___ðə___ðə___ˈdɪfɪkəlti___wəz___ˈɡɛtɪŋ___ˈpipəl___wɪð___ə___ˈsupər___haɪ___ˈproʊfaɪl___tə___ˈæktʃuəli___wɑnt___tə___kʌm___ænd___bi___ɪnˈɡeɪdʒd___wɪð___ðə___ˈkʌntri"
"24","amazing, the country, the bank, you've come, I think","Vậy nên điều đó thật tuyệt vời cho đất nước và cho ngân hàng vì anh đã đến, tôi nghĩ vậy, bạn biết đấy.","So it's a **amazing for the country** and for the bank that you that **you've come** I think you know.","So___it's___a___**amazing___for___the___country**___and___for___the___bank___that___you___that___**you've___come**___I___think___you___know.","/soʊ ɪts ə əˈmeɪzɪŋ fɔr ðə ˈkʌntri ænd fɔr ðə bæŋk ðæt ju ðæt juv kʌm aɪ θɪŋk ju noʊ/","soʊ___ɪts___ə___əˈmeɪzɪŋ___fɔr___ðə___ˈkʌntri___ænd___fɔr___ðə___bæŋk___ðæt___ju___ðæt___juv___kʌm___aɪ___θɪŋk___ju___noʊ"
"25","Yeah, Fantastic, setting the bar, folks to come, the industry","Vâng. Tuyệt vời. Đặt ra chuẩn mực cao, và hy vọng sẽ có nhiều người khác đến với ngành này nữa. (Ghép từ ba câu ngắn liền kề.)","Yeah. Fantastic. **Setting the bar** and and hopefully more folks to **come across** the industry as well.","Yeah.___Fantastic.___**Setting___the___bar**___and___and___hopefully___more___folks___to___**come___across**___the___industry___as___well.","/jæ fænˈtæstɪk ˈsɛtɪŋ ðə bɑr ænd ænd ˈhoʊpfəli mɔr foʊks tə kʌm əˈkrɔs ðə ˈɪndəstri əz wɛl/","jæ___fænˈtæstɪk___ˈsɛtɪŋ___ðə___bɑr___ænd___ænd___ˈhoʊpfəli___mɔr___foʊks___tə___kʌm___əˈkrɔs___ðə___ˈɪndəstri___əz___wɛl"
"26","Um, Jens, why don't we, start with, Techcombank","Ừm, Jens, sao chúng ta không bắt đầu với việc Techcombank là gì?","Um, Jens, why don't we just **start with** what is **Techcombank**?","Um,___Jens,___why___don't___we___just___**start___with**___what___is___**Techcombank**?","/ʌm jænz waɪ doʊnt wi dʒʌst stɑrt wɪð wʌt ɪz ˈtɛkkɑmbæŋk/","ʌm___jænz___waɪ___doʊnt___wi___dʒʌst___stɑrt___wɪð___wʌt___ɪz___ˈtɛkkɑmbæŋk"
"27","been here, 10 years, Michael 20","Vì, à, tôi đã ở đây 10 năm, Michael 20 năm.","Because, uh, I've been here **10 years**, Michael 20.","Because,___uh,___I've___been___here___**10___years**,___Michael___20.","/bɪˈkɔz ʌ aɪv bɪn hɪr tɛn jɪrz ˈmaɪkəl ˈtwɛnti/","bɪˈkɔz___ʌ___aɪv___bɪn___hɪr___tɛn___jɪrz___ˈmaɪkəl___ˈtwɛnti"
"28","Uh, first time, talking to someone, CEO level, Techcombank","À, đây là lần đầu tiên chúng tôi nói chuyện với ai đó, à, ở cấp CEO, ít nhất là tại Techcombank.","Uh, this is our **first time** talking to someone uh, at the **CEO level** at least at Techcombank.","Uh,___this___is___our___**first___time**___talking___to___someone___uh,___at___the___**CEO___level**___at___least___at___Techcombank.","/ʌ ðɪs ɪz aʊr fɜrst taɪm ˈtɔkɪŋ tə ˈsʌmwʌn ʌ æt ðə ˌsiˌiˈoʊ ˈlɛvəl æt list æt ˈtɛkkɑmbæŋk/","ʌ___ðɪs___ɪz___aʊr___fɜrst___taɪm___ˈtɔkɪŋ___tə___ˈsʌmwʌn___ʌ___æt___ðə___ˌsiˌiˈoʊ___ˈlɛvəl___æt___list___æt___ˈtɛkkɑmbæŋk"
"29","never asked, tech is in the name","Tôi chưa từng hỏi, chữ ""tech"" nằm trong tên rồi. (Ghép từ hai câu bị ngắt.)","I never asked, **tech is in the name**.","I___never___asked,___**tech___is___in___the___name**.","/aɪ ˈnɛvər æskt tɛk ɪz ɪn ðə neɪm/","aɪ___ˈnɛvər___æskt___tɛk___ɪz___ɪn___ðə___neɪm"
"30","Um, well ahead, its peers, local industry, at least","Ừm, và tất nhiên, tôi nghĩ ngân hàng này đang đi trước các đối thủ khá xa, ít nhất là về ngành công nghiệp trong nước.","Um, and of course the bank I think is **well ahead** of **its peers** in terms of local industry at least.","Um,___and___of___course___the___bank___I___think___is___**well___ahead**___of___**its___peers**___in___terms___of___local___industry___at___least.","/ʌm ænd əv kɔrs ðə bæŋk aɪ θɪŋk ɪz wɛl əˈhɛd əv ɪts pɪrz ɪn tɜrmz əv ˈloʊkəl ˈɪndəstri æt list/","ʌm___ænd___əv___kɔrs___ðə___bæŋk___aɪ___θɪŋk___ɪz___wɛl___əˈhɛd___əv___ɪts___pɪrz___ɪn___tɜrmz___əv___ˈloʊkəl___ˈɪndəstri___æt___list"
"31","come about","Điều đó đã xảy ra như thế nào?","How did that **come about**?","How___did___that___**come___about**?","/haʊ dɪd ðæt kʌm əˈbaʊt/","haʊ___dɪd___ðæt___kʌm___əˈbaʊt"
"32","What was, founders's vision, behind tech, embodied within, the culture","Tầm nhìn của các nhà sáng lập đằng sau chữ ""tech"", à, được thể hiện trong văn hóa công ty như thế nào?","What was the **founders's vision** behind tech uh, **embodied within** the culture?","What___was___the___**founders's___vision**___behind___tech___uh,___**embodied___within**___the___culture?","/wʌt wəz ðə ˈfaʊndərz ˈvɪʒən bɪˈhaɪnd tɛk ʌ ɪmˈbɑdid wɪˈðɪn ðə ˈkʌltʃər/","wʌt___wəz___ðə___ˈfaʊndərz___ˈvɪʒən___bɪˈhaɪnd___tɛk___ʌ___ɪmˈbɑdid___wɪˈðɪn___ðə___ˈkʌltʃər"
